timestamp,symbol,price,quantity,side
2026-01-13 02:40:01.275981,AAPL,100.1,156,SELL
2026-01-13 02:40:11.275981,AAPL,100.07,238,BUY
2026-01-13 02:40:21.275981,AAPL,100.02,380,BUY
2026-01-13 02:40:31.275981,AAPL,99.98,137,BUY
2026-01-13 02:40:41.275981,AAPL,100.29,199,BUY
2026-01-13 02:40:51.275981,AAPL,100.45,307,SELL
2026-01-13 02:41:01.275981,AAPL,100.35,241,SELL
2026-01-13 02:41:11.275981,AAPL,100.46,326,BUY
2026-01-13 02:41:21.275981,AAPL,100.51,285,BUY
2026-01-13 02:41:31.275981,AAPL,100.13,98,BUY
2026-01-13 02:41:41.275981,AAPL,99.93,237,SELL
2026-01-13 02:41:51.275981,AAPL,99.99,320,SELL
2026-01-13 02:42:01.275981,AAPL,100.03,413,BUY
2026-01-13 02:42:11.275981,AAPL,99.88,293,SELL
2026-01-13 02:42:21.275981,AAPL,100.11,184,BUY
2026-01-13 02:42:31.275981,AAPL,100.08,378,BUY
2026-01-13 02:42:41.275981,AAPL,99.68,395,BUY
2026-01-13 02:42:51.275981,AAPL,99.9,435,SELL
2026-01-13 02:43:01.275981,AAPL,100.06,477,BUY
2026-01-13 02:43:11.275981,AAPL,99.84,313,BUY
2026-01-13 02:43:21.275981,AAPL,99.76,99,SELL
2026-01-13 02:43:31.275981,AAPL,99.53,437,SELL
2026-01-13 02:43:41.275981,AAPL,99.25,309,SELL
2026-01-13 02:43:51.275981,AAPL,99.18,240,SELL
2026-01-13 02:44:01.275981,AAPL,99.23,353,BUY
2026-01-13 02:44:11.275981,AAPL,99.4,264,SELL
2026-01-13 02:44:21.275981,AAPL,99.38,257,BUY
2026-01-13 02:44:31.275981,AAPL,99.32,387,BUY
2026-01-13 02:44:41.275981,AAPL,99.23,301,SELL
2026-01-13 02:44:51.275981,AAPL,99.44,429,BUY
2026-01-13 02:45:01.275981,AAPL,99.5,114,BUY
2026-01-13 02:45:11.275981,AAPL,99.43,376,BUY
2026-01-13 02:45:21.275981,AAPL,99.29,112,BUY
2026-01-13 02:45:31.275981,AAPL,99.41,130,SELL
2026-01-13 02:45:41.275981,AAPL,99.59,310,SELL
2026-01-13 02:45:51.275981,AAPL,99.74,280,SELL
2026-01-13 02:46:01.275981,AAPL,99.44,97,BUY
2026-01-13 02:46:11.275981,AAPL,99.66,456,SELL
2026-01-13 02:46:21.275981,AAPL,99.9,409,SELL
2026-01-13 02:46:31.275981,AAPL,99.72,84,BUY
2026-01-13 02:46:41.275981,AAPL,99.78,180,BUY
2026-01-13 02:46:51.275981,AAPL,99.77,54,SELL
2026-01-13 02:47:01.275981,AAPL,99.61,332,BUY
2026-01-13 02:47:11.275981,AAPL,99.44,256,BUY
2026-01-13 02:47:21.275981,AAPL,99.41,228,BUY
2026-01-13 02:47:31.275981,AAPL,99.22,401,BUY
2026-01-13 02:47:41.275981,AAPL,99.75,437,SELL
2026-01-13 02:47:51.275981,AAPL,99.54,456,BUY
2026-01-13 02:48:01.275981,AAPL,99.84,85,BUY
2026-01-13 02:48:11.275981,AAPL,99.73,209,BUY
2026-01-13 02:48:21.275981,AAPL,99.57,115,SELL
2026-01-13 02:48:31.275981,AAPL,99.47,94,SELL
2026-01-13 02:48:41.275981,AAPL,99.65,77,SELL
2026-01-13 02:48:51.275981,AAPL,99.72,93,SELL
2026-01-13 02:49:01.275981,AAPL,99.74,397,BUY
2026-01-13 02:49:11.275981,AAPL,99.93,280,SELL
2026-01-13 02:49:21.275981,AAPL,99.88,495,BUY
2026-01-13 02:49:31.275981,AAPL,99.81,165,BUY
2026-01-13 02:49:41.275981,AAPL,99.28,214,BUY
2026-01-13 02:49:51.275981,AAPL,99.35,356,SELL
2026-01-13 02:50:01.275981,AAPL,99.44,423,SELL
2026-01-13 02:50:11.275981,AAPL,99.4,145,SELL
2026-01-13 02:50:21.275981,AAPL,99.22,491,SELL
2026-01-13 02:50:31.275981,AAPL,99.5,317,SELL
2026-01-13 02:50:41.275981,AAPL,99.71,150,BUY
2026-01-13 02:50:51.275981,AAPL,99.91,489,BUY
2026-01-13 02:51:01.275981,AAPL,99.83,273,BUY
2026-01-13 02:51:11.275981,AAPL,99.81,434,BUY
2026-01-13 02:51:21.275981,AAPL,99.88,267,SELL
2026-01-13 02:51:31.275981,AAPL,100.27,247,SELL
2026-01-13 02:51:41.275981,AAPL,100.12,233,BUY
